Date/Clock time,45695.4,,,,,,,,
Tester,"Arik, Cameron",,,,,,,,
Specimen designation,316H-elg_320MPa_550C_02,,,,,,,,
Diameter,6.0475,mm,,,,,,,
Material,316H-elg,,,,,,,,
Load cell,100kN,,,,,,,,
Extensometer,Epsilon 3549 SN102121 GL25mm,,,,,,,,
"Gage length, standard travel",25,mm,,,,,,,
Test standard,ASTM E136,,,,,,,,
Machine data,ZwickRoell Kappa100 SS-CF,,,,,,,,
Time,Test time,Standard travel,Standard force,Temperature,Temperature 3,,,,
h,h,%,MPa,°C,°C,,,,
3.82467,0.00853056,0.157875,124.207,550.007,550.313,,,,
3.82473,0.00859167,0.160403,124.565,550.007,550.313,,,,
3.82478,0.00864722,0.162793,124.92,550.005,550.313,,,,
3.82484,0.00870556,0.165483,125.283,550.005,550.313,,,,
3.8249,0.00876389,0.168267,125.643,550.005,550.313,,,,
3.82496,0.00882222,0.170805,125.999,550.005,550.308,,,,
3.82502,0.00888056,0.17336,126.351,550.005,550.308,,,,
3.82508,0.00894444,0.176032,126.707,550.008,550.308,,,,
3.82514,0.00900833,0.178541,127.068,550.008,550.308,,,,
3.8252,0.00906667,0.181138,127.417,550.008,550.309,,,,
3.82526,0.00912778,0.183827,127.781,550.008,550.309,,,,
3.82532,0.00918889,0.186342,128.134,550.005,550.309,,,,
3.82539,0.00925,0.188638,128.489,550.005,550.309,,,,
3.82545,0.00931389,0.191257,128.841,550.005,550.309,,,,
3.82552,0.00938056,0.193922,129.202,550.005,550.313,,,,
3.82558,0.00944444,0.19649,129.559,550.005,550.313,,,,
3.82564,0.00950556,0.199193,129.916,550.008,550.313,,,,
3.8257,0.00956667,0.201947,130.266,550.008,550.313,,,,
3.82577,0.00963056,0.20477,130.619,550.008,550.313,,,,
3.82583,0.00969444,0.207556,130.969,550.008,550.316,,,,
3.8259,0.00976667,0.210664,131.33,550.007,550.316,,,,
3.82597,0.00983333,0.213578,131.681,550.007,550.316,,,,
3.82603,0.00989722,0.216312,132.04,550.007,550.316,,,,
3.8261,0.00996389,0.21904,132.395,550.007,550.324,,,,
3.82616,0.0100278,0.222166,132.743,550.014,550.324,,,,
3.82623,0.0100972,0.225011,133.099,550.014,550.324,,,,
3.82631,0.0101694,0.228147,133.459,550.014,550.324,,,,
3.82638,0.0102417,0.230846,133.821,550.014,550.324,,,,
3.82645,0.0103139,0.233888,134.182,550.007,550.324,,,,
3.82652,0.0103806,0.236983,134.533,550.007,550.324,,,,
3.82659,0.01045,0.239911,134.883,550.007,550.324,,,,
3.82666,0.0105222,0.243094,135.233,550.007,550.317,,,,
3.82674,0.0106,0.246602,135.587,549.995,550.317,,,,
3.82681,0.0106722,0.249728,135.938,549.995,550.317,,,,
3.82688,0.0107444,0.253184,136.298,549.995,550.32,,,,
3.82695,0.0108167,0.256589,136.647,549.995,550.32,,,,
3.82702,0.0108889,0.259509,136.999,550.004,550.32,,,,
3.8271,0.0109667,0.262858,137.355,550.004,550.32,,,,
3.82718,0.0110444,0.266101,137.706,550.004,550.316,,,,
3.82726,0.0111194,0.269399,138.06,550.006,550.316,,,,
3.82733,0.0111944,0.272802,138.418,550.006,550.316,,,,
3.82741,0.011275,0.276337,138.774,550.006,550.316,,,,
3.82749,0.0113583,0.279998,139.133,550.006,550.312,,,,
3.82758,0.0114417,0.283553,139.49,550.001,550.312,,,,
3.82765,0.0115167,0.286705,139.846,550.001,550.312,,,,
3.82774,0.0116,0.290175,140.206,550.001,550.316,,,,
3.82782,0.0116861,0.293943,140.564,550.001,550.316,,,,
3.82791,0.0117722,0.297516,140.914,550.011,550.316,,,,
3.82799,0.0118583,0.301223,141.263,550.011,550.324,,,,
3.82807,0.0119389,0.304548,141.621,550.011,550.324,,,,
3.82816,0.012025,0.308189,141.978,549.997,550.324,,,,
3.82824,0.0121083,0.311572,142.334,549.997,550.324,,,,
3.82834,0.0122028,0.315767,142.693,549.997,550.317,,,,
3.82843,0.0122917,0.319684,143.043,549.999,550.317,,,,
3.82851,0.0123778,0.323388,143.402,549.999,550.317,,,,
3.8286,0.0124639,0.326946,143.751,549.999,550.32,,,,
3.82869,0.0125556,0.331047,144.102,550.009,550.32,,,,
3.82879,0.0126528,0.335282,144.458,550.009,550.32,,,,
3.82888,0.0127444,0.33947,144.818,550.009,550.31,,,,
3.82897,0.0128333,0.343643,145.172,550.003,550.31,,,,
3.82906,0.0129278,0.348156,145.526,550.003,550.31,,,,
3.82917,0.0130306,0.352968,145.881,550.003,550.317,,,,
3.82926,0.0131278,0.357651,146.239,550.012,550.317,,,,
3.82936,0.0132194,0.3622,146.587,550.012,550.317,,,,
3.82945,0.0133139,0.367253,146.938,550.012,550.324,,,,
3.82956,0.0134194,0.37265,147.288,550.009,550.324,,,,
3.82966,0.0135194,0.377641,147.642,550.009,550.324,,,,
3.82975,0.0136167,0.382232,147.997,550.014,550.322,,,,
3.82986,0.0137194,0.387081,148.351,550.014,550.322,,,,
3.82997,0.0138333,0.392556,148.704,550.014,550.322,,,,
3.83007,0.0139361,0.397236,149.06,550.011,550.322,,,,
3.83017,0.0140333,0.401629,149.41,550.011,550.322,,,,
3.83027,0.0141389,0.406561,149.76,550.011,550.324,,,,
3.83039,0.0142583,0.412075,150.114,550.004,550.324,,,,
3.8305,0.0143639,0.41707,150.469,550.004,550.322,,,,
3.8306,0.0144667,0.422047,150.822,550.004,550.322,,,,
3.83072,0.0145861,0.428069,151.177,550.012,550.322,,,,
3.83084,0.0147056,0.433952,151.527,550.012,550.329,,,,
3.83096,0.0148194,0.439819,151.884,550.016,550.329,,,,
3.83107,0.0149333,0.445514,152.234,550.016,550.321,,,,
3.8312,0.0150611,0.451875,152.584,550.016,550.321,,,,
3.83131,0.0151778,0.457785,152.934,550.016,550.332,,,,
3.83143,0.0152917,0.463114,153.284,550.016,550.332,,,,
3.83155,0.0154139,0.469307,153.635,550.006,550.332,,,,
3.83168,0.0155472,0.475813,153.989,550.006,550.327,,,,
3.8318,0.0156611,0.481487,154.343,550.005,550.327,,,,
3.83192,0.0157889,0.487763,154.697,550.005,550.332,,,,
3.83206,0.015925,0.494286,155.047,550.002,550.332,,,,
3.83218,0.0160444,0.500308,155.399,550.002,550.331,,,,
3.83231,0.0161694,0.506049,155.752,550.007,550.331,,,,
3.83246,0.0163222,0.513178,156.107,550.007,550.336,,,,
3.83259,0.01645,0.519632,156.46,550.009,550.336,,,,
3.83272,0.0165833,0.526223,156.813,550.009,550.342,,,,
3.83286,0.0167278,0.534046,157.165,549.997,550.342,,,,
3.833,0.0168639,0.541611,157.514,549.997,550.338,,,,
3.83313,0.0169944,0.548757,157.862,550.002,550.338,,,,
3.83329,0.0171528,0.557547,158.214,550.002,550.342,,,,
3.83342,0.0172861,0.564505,158.564,550.005,550.342,,,,
3.83357,0.0174306,0.571401,158.915,550.005,550.348,,,,
3.83372,0.0175861,0.579636,159.265,550.009,550.348,,,,
3.83386,0.0177278,0.587017,159.616,550.009,550.339,,,,
3.83402,0.0178889,0.595508,159.964,550.014,550.339,,,,
3.83417,0.0180361,0.603357,160.318,550.014,550.344,,,,
3.83432,0.0181861,0.611351,160.667,550.015,550.344,,,,
3.8345,0.0183611,0.619968,161.019,550.016,550.345,,,,
3.83464,0.0185083,0.627766,161.37,550.016,550.345,,,,
3.8348,0.0186639,0.635689,161.719,550.016,550.343,,,,
3.83497,0.0188389,0.644835,162.071,550.016,550.345,,,,
3.83513,0.0189944,0.652921,162.423,550.017,550.345,,,,
3.83531,0.019175,0.662129,162.771,550.017,550.354,,,,
3.83547,0.0193361,0.670166,163.119,550.018,550.354,,,,
3.83566,0.0195222,0.678809,163.471,550.026,550.353,,,,
3.83583,0.0196917,0.687172,163.819,550.026,550.347,,,,
3.836,0.0198611,0.69577,164.17,550.028,550.347,,,,
3.83618,0.0200472,0.705014,164.519,550.016,550.355,,,,
3.83636,0.020225,0.714964,164.871,550.016,550.358,,,,
3.83656,0.0204194,0.726264,165.221,550.015,550.358,,,,
3.83673,0.0205917,0.736113,165.574,550.014,550.366,,,,
3.83693,0.0207944,0.748018,165.926,550.014,550.352,,,,
3.8371,0.0209611,0.756823,166.278,550.008,550.352,,,,
3.83729,0.0211556,0.768039,166.628,550.014,550.363,,,,
3.83747,0.0213306,0.778327,166.982,550.014,550.378,,,,
3.83768,0.0215472,0.791246,167.331,550.017,550.378,,,,
3.83791,0.0217722,0.802783,167.68,550.011,550.38,,,,
3.83814,0.0220028,0.814493,168.03,550.021,550.378,,,,
3.8383,0.0221611,0.822212,168.381,550.021,550.375,,,,
3.83849,0.0223528,0.830918,168.73,550.027,550.375,,,,
3.8387,0.0225611,0.840161,169.079,550.025,550.375,,,,
3.83897,0.0228306,0.850045,169.429,550.021,550.371,,,,
3.83916,0.0230222,0.855776,169.783,550.021,550.381,,,,
3.83933,0.0231917,0.860482,170.136,550.018,550.381,,,,
3.83949,0.0233556,0.865121,170.488,550.018,550.382,,,,
3.83983,0.0236917,0.878693,170.839,550.026,550.386,,,,
3.84003,0.0238944,0.890813,171.191,550.026,550.39,,,,
3.84023,0.0240944,0.904831,171.541,550.031,550.39,,,,
3.84043,0.0242972,0.91936,171.892,550.034,550.39,,,,
3.84066,0.0245222,0.935005,172.242,550.034,550.385,,,,
3.84088,0.0247472,0.951187,172.593,550.028,550.391,,,,
3.84114,0.025,0.972001,172.943,550.028,550.385,,,,
3.84134,0.0252056,0.988037,173.293,550.024,550.39,,,,
3.8415,0.0253611,0.998054,173.644,550.028,550.39,,,,
3.84167,0.0255333,1.00897,173.994,550.028,550.392,,,,
3.84211,0.0259694,1.03778,174.346,550.021,550.396,,,,
3.84231,0.0261722,1.05015,174.697,550.015,550.383,,,,
3.84244,0.0263028,1.05786,175.054,550.015,550.392,,,,
3.84255,0.0264167,1.06485,175.402,550.015,550.392,,,,
3.84267,0.0265333,1.07184,175.751,550.023,550.392,,,,
3.84356,0.0274222,1.09683,175.402,550.015,550.394,,,,
3.84373,0.0275972,1.0981,175.756,550.008,550.398,,,,
3.84386,0.027725,1.09944,176.109,550.008,550.397,,,,
3.84397,0.0278389,1.1012,176.46,550.017,550.397,,,,
3.84409,0.0279583,1.1031,176.816,550.017,550.397,,,,
3.84425,0.0281167,1.10652,177.167,550.009,550.403,,,,
3.84444,0.0283056,1.11434,177.517,550.009,550.407,,,,
3.84467,0.0285333,1.1275,177.867,550.011,550.413,,,,
3.84482,0.0286833,1.13792,178.216,550.005,550.413,,,,
3.84495,0.0288111,1.14769,178.566,550.005,550.407,,,,
3.84506,0.0289278,1.15564,178.923,550.002,550.407,,,,
3.84516,0.0290278,1.16231,179.276,550.002,550.407,,,,
3.84527,0.0291306,1.16955,179.625,550.002,550.413,,,,
3.84539,0.0292583,1.17914,179.976,550.015,550.413,,,,
3.84567,0.0295333,1.20176,179.626,550.005,550.409,,,,
3.84571,0.0295722,1.2058,179.256,550.005,550.409,,,,
3.84577,0.0296333,1.21206,178.906,550.005,550.399,,,,
3.84606,0.029925,1.23479,179.26,550.01,550.399,,,,
3.84624,0.0301056,1.24855,179.611,550.02,550.411,,,,
3.84647,0.0303361,1.26566,179.96,550.016,550.413,,,,
3.84688,0.0307472,1.2929,180.312,550.027,550.41,,,,
3.84704,0.0309028,1.3007,180.664,550.025,550.422,,,,
3.84716,0.0310194,1.30566,181.014,550.025,550.422,,,,
3.84727,0.0311361,1.30903,181.368,550.025,550.424,,,,
3.84785,0.0317139,1.31447,181.721,550.015,550.429,,,,
3.84792,0.0317806,1.31519,182.083,550.015,550.429,,,,
3.84797,0.0318361,1.31566,182.439,550.015,550.429,,,,
3.84802,0.0318889,1.316,182.796,550.015,550.43,,,,
3.84808,0.0319417,1.31668,183.145,550.015,550.43,,,,
3.84814,0.0320083,1.31733,183.504,550.021,550.43,,,,
3.84826,0.0321278,1.32223,183.137,550.021,550.43,,,,
3.84828,0.0321472,1.32434,182.756,550.021,550.421,,,,
3.8483,0.0321639,1.32639,182.392,550.021,550.421,,,,
3.84832,0.0321833,1.32871,182.04,550.021,550.421,,,,
3.84835,0.0322111,1.33173,181.691,550.021,550.421,,,,
3.84859,0.0324556,1.35067,182.041,550.02,550.421,,,,
3.84869,0.0325583,1.35806,182.393,550.029,550.421,,,,
3.84879,0.0326528,1.36549,182.751,550.029,550.421,,,,
3.84888,0.0327472,1.37271,183.109,550.029,550.433,,,,
3.84899,0.03285,1.38065,183.466,550.019,550.433,,,,
3.8491,0.0329639,1.38943,183.815,550.019,550.433,,,,
3.84921,0.0330694,1.39745,184.172,550.019,550.438,,,,
3.84932,0.0331833,1.40595,184.523,550.027,550.438,,,,
3.84947,0.0333389,1.41766,184.876,550.027,550.436,,,,
3.84968,0.0335444,1.43082,185.225,550.024,550.434,,,,
3.84984,0.0337,1.43884,184.875,550.026,550.434,,,,
3.84987,0.0337333,1.44011,184.517,550.026,550.434,,,,
3.8499,0.0337639,1.44069,184.148,550.026,550.434,,,,
3.84994,0.0338028,1.44126,183.781,550.026,550.434,,,,
3.85045,0.0343111,1.448,184.135,550.025,550.45,,,,
3.85062,0.0344806,1.45259,184.488,550.025,550.443,,,,
3.8508,0.0346611,1.45762,184.839,550.036,550.441,,,,
3.85096,0.0348194,1.46369,185.187,550.024,550.441,,,,
3.85134,0.0352056,1.48737,185.543,550.021,550.444,,,,
3.85145,0.0353111,1.49456,185.897,550.027,550.444,,,,
3.85154,0.0354028,1.50121,186.246,550.027,550.444,,,,
3.85162,0.0354861,1.50729,186.607,550.027,550.444,,,,
3.8517,0.0355611,1.51301,186.957,550.027,550.453,,,,
3.85177,0.0356389,1.51881,187.313,550.022,550.453,,,,
3.85186,0.035725,1.52565,187.674,550.022,550.453,,,,
3.85196,0.0358222,1.53321,188.029,550.022,550.448,,,,
3.85208,0.0359444,1.542,188.38,550.028,550.448,,,,
3.85217,0.0360389,1.55075,188.031,550.028,550.448,,,,
3.8522,0.0360639,1.55367,187.673,550.028,550.448,,,,
3.85222,0.0360861,1.55648,187.313,550.028,550.448,,,,
3.85225,0.0361111,1.55975,186.937,550.028,550.448,,,,
3.85228,0.0361472,1.56376,186.568,550.024,550.448,,,,
3.85267,0.0365333,1.59496,186.92,550.022,550.459,,,,
3.85283,0.0366917,1.60729,187.272,550.022,550.451,,,,
3.85301,0.036875,1.61925,187.623,550.027,550.45,,,,
3.85333,0.0371944,1.63305,187.972,550.034,550.456,,,,
3.85356,0.0374222,1.63909,188.324,550.027,550.458,,,,
3.85374,0.0376028,1.64125,188.675,550.022,550.458,,,,
3.85404,0.0379056,1.64329,189.023,550.032,550.462,,,,
3.85419,0.0380583,1.64403,189.373,550.032,550.473,,,,
3.85431,0.0381694,1.64433,189.722,550.024,550.473,,,,
3.85439,0.0382556,1.64482,190.074,550.024,550.473,,,,
3.85446,0.0383194,1.64527,190.422,550.024,550.466,,,,
3.85451,0.0383778,1.6457,190.781,550.031,550.466,,,,
3.85457,0.0384306,1.64575,191.13,550.031,550.466,,,,
3.85462,0.0384861,1.646,191.494,550.031,550.466,,,,
3.85468,0.0385444,1.64637,191.849,550.031,550.466,,,,
3.85475,0.0386111,1.64712,192.203,550.031,550.469,,,,
3.85485,0.0387139,1.64885,192.554,550.036,550.469,,,,
3.85494,0.0388028,1.65257,192.192,550.036,550.469,,,,
3.85496,0.0388278,1.65496,191.829,550.036,550.469,,,,
3.85499,0.03885,1.65742,191.436,550.036,550.469,,,,
3.85501,0.0388722,1.66008,191.064,550.036,550.469,,,,
3.85504,0.0389,1.66287,190.686,550.036,550.469,,,,
3.85509,0.0389528,1.66816,190.338,550.04,550.469,,,,
3.85543,0.0392917,1.6942,190.688,550.03,550.469,,,,
3.85561,0.039475,1.7103,190.332,550.03,550.474,,,,
3.85592,0.0397861,1.73597,190.683,550.038,550.47,,,,
3.85607,0.0399306,1.74786,191.04,550.038,550.477,,,,
3.85616,0.0400278,1.75567,191.397,550.038,550.477,,,,
3.85625,0.0401139,1.76225,191.746,550.036,550.477,,,,
3.85634,0.0402056,1.76953,192.105,550.036,550.471,,,,
3.85644,0.0403028,1.7772,192.457,550.036,550.471,,,,
3.85653,0.0403972,1.78505,192.81,550.043,550.471,,,,
3.85664,0.0405056,1.79414,193.16,550.043,550.479,,,,
3.85686,0.0407194,1.80858,192.791,550.041,550.479,,,,
3.85688,0.0407444,1.8092,192.403,550.041,550.479,,,,
3.8569,0.0407667,1.80967,192.034,550.041,550.479,,,,
3.85693,0.0407917,1.81022,191.679,550.041,550.487,,,,
3.85697,0.0408306,1.81066,191.311,550.041,550.487,,,,
3.85743,0.0412972,1.81413,191.663,550.019,550.482,,,,
3.85759,0.0414556,1.818,192.014,550.028,550.478,,,,
3.85774,0.0416028,1.82217,192.368,550.028,550.478,,,,
3.85787,0.0417389,1.82647,192.717,550.029,550.478,,,,
3.85807,0.0419361,1.8349,193.066,550.029,550.48,,,,
3.85834,0.0422,1.84961,193.421,550.032,550.485,,,,
3.85844,0.0423028,1.8551,193.777,550.031,550.485,,,,
3.85852,0.0423889,1.86029,194.134,550.031,550.485,,,,
3.8586,0.0424639,1.86465,194.488,550.031,550.485,,,,
3.85868,0.0425417,1.86892,194.845,550.023,550.485,,,,
3.85876,0.0426222,1.87359,195.2,550.023,550.485,,,,
3.85884,0.0427056,1.87832,195.552,550.023,550.493,,,,
3.85892,0.0427861,1.8829,195.902,550.023,550.493,,,,
3.85901,0.0428694,1.8876,196.258,550.018,550.493,,,,
3.85909,0.0429583,1.89307,196.609,550.018,550.493,,,,
3.85931,0.0431722,1.90968,196.22,550.034,550.487,,,,
3.85932,0.0431889,1.91202,195.807,550.034,550.487,,,,
3.85934,0.0432028,1.91415,195.414,550.034,550.487,,,,
3.85935,0.0432167,1.91636,195.034,550.034,550.487,,,,
3.85937,0.0432333,1.91867,194.653,550.034,550.487,,,,
3.85939,0.0432556,1.9214,194.29,550.034,550.481,,,,
3.85943,0.0432972,1.92581,193.936,550.034,550.481,,,,
3.85975,0.0436111,1.9522,194.288,550.036,550.478,,,,
3.85995,0.0438167,1.96897,194.638,550.034,550.478,,,,
3.86018,0.0440472,1.98204,194.987,550.04,550.495,,,,
3.86037,0.0442389,1.99068,195.34,550.041,550.493,,,,
3.86052,0.0443861,1.99542,195.694,550.041,550.492,,,,
3.86063,0.0444944,1.99811,196.048,550.042,550.492,,,,
3.86074,0.0446056,2.00039,196.399,550.042,550.492,,,,
3.86088,0.0447417,2.00306,196.749,550.042,550.503,,,,
3.86101,0.0448694,2.00505,197.099,550.037,550.503,,,,
3.86119,0.0450528,2.00748,197.452,550.046,550.5,,,,
3.86139,0.0452528,2.00963,197.806,550.046,550.501,,,,
3.86155,0.0454167,2.01176,198.159,550.043,550.501,,,,
3.86178,0.0456417,2.01924,197.796,550.044,550.498,,,,
3.86182,0.0456833,2.02281,197.431,550.044,550.498,,,,
3.86187,0.0457333,2.02719,197.08,550.044,550.498,,,,
3.8623,0.0461611,2.06057,197.434,550.036,550.509,,,,
3.86244,0.0463,2.07124,197.782,550.036,550.509,,,,
3.86258,0.0464472,2.08245,198.138,550.036,550.509,,,,
3.86272,0.0465806,2.0929,198.492,550.036,550.509,,,,
3.86292,0.0467833,2.10908,198.841,550.026,550.512,,,,
3.8632,0.0470611,2.13212,199.191,550.036,550.512,,,,
3.86334,0.0472083,2.14367,199.548,550.036,550.522,,,,
3.86344,0.0473083,2.15096,199.897,550.036,550.522,,,,
3.86354,0.0474083,2.15834,200.25,550.036,550.522,,,,
3.86364,0.0475083,2.16575,200.602,550.036,550.531,,,,
3.86376,0.0476194,2.17391,200.957,550.034,550.531,,,,
3.86386,0.0477222,2.18107,201.308,550.034,550.53,,,,
3.86408,0.0479444,2.194,200.953,550.037,550.53,,,,
3.8641,0.0479639,2.19447,200.569,550.037,550.53,,,,
3.86412,0.0479806,2.19455,200.194,550.037,550.53,,,,
3.86413,0.0479972,2.19458,199.829,550.037,550.528,,,,
3.86415,0.0480167,2.1949,199.466,550.037,550.528,,,,
3.86418,0.0480444,2.19531,199.112,550.037,550.528,,,,
3.86464,0.0485028,2.19692,199.466,550.058,550.528,,,,
3.86476,0.0486278,2.19725,199.823,550.058,550.525,,,,
3.86489,0.04875,2.19808,200.177,550.054,550.525,,,,
3.86501,0.0488722,2.19878,200.531,550.054,550.536,,,,
3.86511,0.048975,2.20009,200.881,550.054,550.536,,,,
3.86522,0.0490889,2.20278,201.236,550.054,550.536,,,,
3.86536,0.0492222,2.20623,201.59,550.056,550.535,,,,
3.86553,0.0493972,2.21293,201.939,550.056,550.525,,,,
3.86587,0.0497361,2.23173,202.289,550.055,550.531,,,,
3.86597,0.0498361,2.23744,202.638,550.061,550.531,,,,
3.86607,0.0499333,2.24305,202.994,550.061,550.531,,,,
3.86616,0.050025,2.24858,203.345,550.061,550.531,,,,
3.86625,0.0501167,2.25389,203.696,550.058,550.531,,,,
3.86635,0.0502167,2.26006,204.054,550.058,550.531,,,,
3.86655,0.0504167,2.26913,203.703,550.074,550.529,,,,
3.86661,0.0504694,2.26994,203.344,550.074,550.529,,,,
3.86705,0.0509111,2.28125,202.994,550.057,550.534,,,,
3.86707,0.0509361,2.28344,202.611,550.057,550.534,,,,
3.86709,0.0509583,2.2858,202.243,550.057,550.534,,,,
3.86712,0.0509861,2.28908,201.866,550.057,550.534,,,,
3.86717,0.0510306,2.29332,201.51,550.057,550.534,,,,
3.86747,0.0513361,2.31863,201.863,550.05,550.537,,,,
3.86761,0.0514722,2.32925,202.219,550.068,550.537,,,,
3.86776,0.051625,2.33983,202.57,550.068,550.536,,,,
3.86792,0.0517833,2.34982,202.921,550.068,550.536,,,,
3.86807,0.0519389,2.35955,203.272,550.068,550.538,,,,
3.8683,0.0521611,2.37282,203.622,550.071,550.543,,,,
3.86878,0.0526472,2.39039,203.973,550.067,550.54,,,,
3.8689,0.0527667,2.39216,204.324,550.067,550.548,,,,
3.86901,0.0528722,2.39298,204.677,550.054,550.548,,,,
3.8691,0.0529639,2.39409,205.026,550.054,550.548,,,,
3.86919,0.05305,2.39491,205.375,550.054,550.546,,,,
3.86928,0.0531472,2.39604,205.731,550.05,550.546,,,,
3.8696,0.0534611,2.4095,205.381,550.061,550.54,,,,
3.87006,0.053925,2.44685,205.731,550.058,550.537,,,,
3.87024,0.0541028,2.46186,206.08,550.058,550.534,,,,
3.87039,0.0542556,2.47383,206.429,550.064,550.534,,,,
3.87053,0.0543972,2.485,206.781,550.064,550.523,,,,
3.87072,0.0545833,2.49893,207.133,550.048,550.523,,,,
3.87114,0.0550056,2.53279,207.484,550.056,550.521,,,,
3.87131,0.055175,2.5462,207.837,550.054,550.521,,,,
3.87144,0.0553056,2.55662,208.187,550.054,550.507,,,,
3.87155,0.0554167,2.56583,208.537,550.043,550.507,,,,
3.87166,0.0555222,2.57455,208.893,550.043,550.503,,,,
3.87177,0.0556333,2.58413,209.243,550.034,550.503,,,,
3.87191,0.0557694,2.59542,209.595,550.034,550.505,,,,
3.87206,0.0559194,2.60656,209.947,550.021,550.505,,,,
3.87227,0.0561333,2.61925,209.573,550.021,550.501,,,,
3.8723,0.0561611,2.62019,209.191,550.008,550.501,,,,
3.87232,0.0561833,2.62073,208.817,550.008,550.501,,,,
3.87234,0.0562056,2.62106,208.449,550.008,550.501,,,,
3.87237,0.0562306,2.62121,208.092,550.008,550.501,,,,
3.87241,0.0562694,2.62169,207.736,550.008,550.501,,,,
3.87277,0.0566389,2.62536,208.087,550.02,550.485,,,,
3.87294,0.0568,2.62566,208.438,550.011,550.485,,,,
3.87348,0.0573472,2.63574,208.789,550.008,550.487,,,,
3.87358,0.0574472,2.63964,209.143,550.008,550.49,,,,
3.87366,0.0575278,2.64277,209.496,550,550.49,,,,
3.87374,0.0576056,2.64615,209.85,550,550.49,,,,
3.87381,0.0576778,2.64888,210.201,550,550.49,,,,
3.87389,0.0577583,2.65204,210.552,550,550.488,,,,
3.87397,0.0578361,2.65468,210.905,550.002,550.488,,,,
3.87405,0.0579111,2.65737,211.258,550.002,550.488,,,,
3.87412,0.0579861,2.65983,211.609,550.002,550.479,,,,
3.8742,0.0580667,2.66248,211.962,550.002,550.479,,,,
3.8743,0.0581611,2.66554,212.314,550.01,550.479,,,,
3.87439,0.0582583,2.66829,212.663,550.01,550.486,,,,
3.8745,0.0583611,2.67173,213.019,550.01,550.486,,,,
3.87473,0.0585944,2.68274,212.662,550.007,550.482,,,,
3.87475,0.0586139,2.68452,212.314,550.007,550.482,,,,
3.87477,0.0586306,2.68627,211.931,550.007,550.482,,,,
3.87478,0.0586444,2.6878,211.574,550.007,550.482,,,,
3.87479,0.0586583,2.68971,211.215,550.007,550.482,,,,
3.87481,0.058675,2.69192,210.807,550.007,550.482,,,,
3.87483,0.0586917,2.69406,210.458,550.007,550.482,,,,
3.87485,0.0587139,2.69663,210.098,550.007,550.482,,,,
3.87489,0.05875,2.70025,209.739,550.007,550.482,,,,
3.87534,0.0592083,2.73709,210.093,549.999,550.492,,,,
3.8756,0.0594611,2.75431,210.446,549.999,550.497,,,,
3.87578,0.0596472,2.76423,210.797,550.004,550.497,,,,
3.87597,0.0598389,2.77258,211.149,550.004,550.497,,,,
3.87612,0.0599833,2.77811,211.497,550.004,550.492,,,,
3.87627,0.0601333,2.78281,211.849,550.011,550.492,,,,
3.87666,0.0605222,2.79131,211.494,549.999,550.491,,,,
3.87671,0.0605778,2.79187,211.145,549.999,550.491,,,,
3.87704,0.0609083,2.79332,211.5,550.007,550.501,,,,
3.87714,0.061,2.79315,211.854,550.007,550.501,,,,
3.87722,0.0610861,2.79339,212.212,550.007,550.498,,,,
3.87729,0.0611528,2.79344,212.572,550.007,550.498,,,,
3.87736,0.0612222,2.79398,212.928,550.002,550.498,,,,
3.87744,0.0613,2.79427,213.282,550.002,550.498,,,,
3.87751,0.0613778,2.79497,213.643,550.002,550.503,,,,
3.87758,0.0614444,2.79562,214.005,550.016,550.503,,,,
3.87764,0.0615,2.79626,214.364,550.016,550.503,,,,
3.87769,0.06155,2.79663,214.726,550.016,550.503,,,,
3.87774,0.0616028,2.79677,215.081,550.016,550.498,,,,
3.8778,0.0616611,2.7972,215.438,550.016,550.498,,,,
3.87788,0.0617472,2.79806,215.791,550.008,550.498,,,,
3.87812,0.0619833,2.80519,215.435,550.008,550.497,,,,
3.87814,0.0620083,2.80751,215.074,550.009,550.497,,,,
3.87816,0.0620278,2.80974,214.702,550.009,550.497,,,,
3.87818,0.0620472,2.81218,214.319,550.009,550.497,,,,
3.87821,0.0620694,2.81481,213.938,550.009,550.497,,,,
3.87823,0.0620972,2.81825,213.563,550.009,550.497,,,,
3.87829,0.06215,2.8237,213.211,550.009,550.494,,,,
3.87853,0.0623917,2.84423,213.56,550.004,550.494,,,,
3.87869,0.0625583,2.85797,213.91,550.006,550.498,,,,
3.87891,0.0627694,2.87555,214.262,550.006,550.494,,,,
3.87919,0.0630583,2.90001,214.61,550.014,550.508,,,,
3.87938,0.0632472,2.91502,214.959,550.014,550.508,,,,
3.87956,0.0634194,2.92939,215.309,549.999,550.517,,,,
3.87971,0.0635722,2.94168,215.659,549.999,550.508,,,,
