Time 240,Strain 240,Time 240 Creep,Strain 240 Creep,,Time 280,Strain 280,Time 280 Creep,Strain 280 Creep,,Time 300,Strain 300,Time 300 Creep,Strain 300 Creep,,Time 320,Strain 320,Time 320 Creep,Strain 320 Creep,,Time 280 Chris1,Strain 280 Chris1,,,Time 280 Chris2,Strain 280 Chris2,,,Time 280 MOOSE,Strain 280 MOOSE,,,Time 280 Creep FITTED,Strain 280 Creep FITTED,,,Time 320 Creep FITTED,Strain 320 Creep FITTED
,,,,,,,,,,,,,,,,,,,,7.772222222,0.024677071,,,0.051666667,-0.000961548,,,46.5,0.000377283,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.855555556,0.023703475,,,0.052222222,0.000938877,,,47,0.000379101,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.938888889,0.025611899,,,0.052777778,0.000961548,,,47.5,0.000380907,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.02222222,0.022768647,,,0.053333333,-0.000961548,,,48,0.000382702,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.10555556,0.024657687,,,0.053888889,0.000961548,,,48.5,0.000384485,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.18888889,0.026546726,,,0.054444444,-2.27E-05,,,49,0.000386258,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.27222222,0.026546726,,,0.055,0.000961548,,,49.5,0.000388019,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.35555556,0.026527342,,,0.055555556,0.000938877,,,50,0.00038977,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.43888889,0.027500938,,,0.056111111,-0.000961548,,,50.5,0.00039151,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.52222222,0.024657687,,,0.056666667,0,,,51,0.00039324,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.60555556,0.026546726,,,0.057222222,-2.27E-05,,,51.5,0.00039496,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.68888889,0.024657687,,,0.057777778,-0.000961548,,,52,0.000396669,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.77222222,0.027462169,,,0.058333333,-2.27E-05,,,52.5,0.000398369,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.85555556,0.02845515,,,0.058888889,0,,,53,0.000400059,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.93888889,0.02845515,,,0.059444444,0.000938877,,,53.5,0.000401739,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9.02222222,0.025592514,,,0.06,0,,,54,0.00040341,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9.10555556,0.026566111,,,0.060555556,-0.000961548,,,54.5,0.000405071,,,,,,,,
